# Top of Book CSV Output
# Generated by TopOfBookTracker
# Symbol: 
# Date Range: 
# Columns:
#   timestamp: ISO 8601 timestamp (YYYY-MM-DDTHH:MM:SS.nnnnnnnnnZ)
#   symbol: Trading symbol
#   best_bid: Best bid price in dollars (converted from ticks)
#   best_ask: Best ask price in dollars (converted from ticks)
#   bid_volume: Volume at best bid level
#   ask_volume: Volume at best ask level
#   mid_price: Mid price in dollars ((bid + ask) / 2)
#   spread: Bid-ask spread in dollars (ask - bid)

timestamp,symbol,best_bid,best_ask,bid_volume,ask_volume,mid_price,spread
2024-06-28T15:34:12.912125149Z,ESU4,5559.50,5559.75,4,657,5559.62,0.25
2024-06-28T15:34:12.914817862Z,ESU4,5559.50,5559.75,4,657,5559.62,0.25
2024-06-28T15:34:12.998673576Z,ESU4,5559.50,5559.75,4,656,5559.62,0.25
2024-06-28T15:34:13.000800453Z,ESU4,5559.50,5559.75,4,646,5559.62,0.25
2024-06-28T15:34:13.000834347Z,ESU4,5559.50,5559.75,4,646,5559.62,0.25
2024-06-28T15:34:13.000936150Z,ESU4,5559.50,5559.75,4,646,5559.62,0.25
2024-06-28T15:34:13.157576774Z,ESU4,5559.50,5559.75,4,646,5559.62,0.25
2024-06-28T15:34:13.157672705Z,ESU4,5559.50,5559.75,4,646,5559.62,0.25
2024-06-28T15:34:13.361952971Z,ESU4,5559.50,5559.75,4,621,5559.62,0.25
2024-06-28T15:34:13.370595220Z,ESU4,5559.50,5559.75,4,621,5559.62,0.25
2024-06-28T15:34:13.370601205Z,ESU4,5559.50,5559.75,4,621,5559.62,0.25
2024-06-28T15:34:13.428080439Z,ESU4,5559.50,5559.75,4,621,5559.62,0.25
2024-06-28T15:34:13.428090556Z,ESU4,5559.50,5559.75,4,621,5559.62,0.25
2024-06-28T15:34:13.428098051Z,ESU4,5559.50,5559.75,4,621,5559.62,0.25
2024-06-28T15:34:13.428098051Z,ESU4,5559.50,5559.75,4,621,5559.62,0.25
2024-06-28T15:34:13.428127782Z,ESU4,5559.50,5559.75,4,621,5559.62,0.25
2024-06-28T15:34:13.428133158Z,ESU4,5559.50,5559.75,4,621,5559.62,0.25
2024-06-28T15:34:13.428199409Z,ESU4,5559.50,5559.75,4,621,5559.62,0.25
2024-06-28T15:34:13.428229150Z,ESU4,5559.50,5559.75,4,621,5559.62,0.25
2024-06-28T15:34:13.428258282Z,ESU4,5559.50,5559.75,4,621,5559.62,0.25
2024-06-28T15:34:13.428367657Z,ESU4,5559.50,5559.75,4,621,5559.62,0.25
2024-06-28T15:34:13.549880071Z,ESU4,5559.50,5559.75,4,568,5559.62,0.25
2024-06-28T15:34:13.549886414Z,ESU4,5559.50,5559.75,4,568,5559.62,0.25
2024-06-28T15:34:13.549959177Z,ESU4,5559.50,5559.75,4,568,5559.62,0.25
2024-06-28T15:34:13.550476272Z,ESU4,5559.50,5559.75,4,564,5559.62,0.25
2024-06-28T15:34:13.550544361Z,ESU4,5559.50,5559.75,4,564,5559.62,0.25
2024-06-28T15:34:13.603284958Z,ESU4,5559.50,5559.75,4,557,5559.62,0.25
2024-06-28T15:34:13.603307895Z,ESU4,5559.50,5559.75,4,556,5559.62,0.25
